name,lat,lng,address,website,phone,hours,category
Pico-Union Family Pantry,34.05,-118.29,"1625 S Alvarado St, Los Angeles, CA 90006",https://www.lafoodbank.org/partner/pico-union,(213) 555-0109,Tue–Sat 10–3,Community Pantry
South LA Faith Food Pantry,34.0,-118.28,"4516 S Main St, Los Angeles, CA 90037",https://www.lafoodbank.org/partner/south-la,(323) 555-0110,Mon–Fri 9–6,Food Pantry
Mid City Resource Pantry,34.02,-118.35,"3751 S La Brea Ave, Los Angeles, CA 90016",https://www.lafoodbank.org/partner/mid-city,(323) 555-0111,Mon–Fri 10–4,Community Pantry
Crenshaw Community Food Hub,34.02,-118.35,"3010 Crenshaw Blvd, Los Angeles, CA 90016",https://www.lafoodbank.org/partner/crenshaw,(323) 555-0112,Tue–Thu 9–5,Distribution Center
San Fernando Valley Pantry,34.2,-118.44,"14660 Sherman Way, Van Nuys, CA 91405",https://www.lafoodbank.org/partner/van-nuys,(818) 555-0113,Mon–Fri 9–5,Food Pantry
Sylmar Neighborhood Food Bank,34.32,-118.38,"13170 Glenoaks Blvd, Sylmar, CA 91342",https://www.lafoodbank.org/partner/sylmar,(818) 555-0114,Tue–Fri 10–3,Community Pantry
Wilmington Community Pantry,33.77,-118.26,"1001 N Avalon Blvd, Wilmington, CA 90744",https://www.lafoodbank.org/partner/wilmington,(310) 555-0115,Wed–Sat 9–2,Food Pantry
Westchester Family Food Pantry,33.95,-118.4,"7000 W Manchester Ave, Los Angeles, CA 90045",https://www.lafoodbank.org/partner/westchester,(310) 555-0116,Mon–Fri 9–4,Community Pantry
Glendale Community Food Bank,34.13,-118.24,"320 E Harvard St, Glendale, CA 91205",https://www.lafoodbank.org/partner/glendale,(818) 555-0117,Mon–Thu 9–5,Food Pantry
Burbank Family Service Pantry,34.17,-118.32,"1301 W Magnolia Blvd, Burbank, CA 91506",https://www.lafoodbank.org/partner/burbank,(818) 555-0118,Tue–Sat 10–4,Community Pantry
Long Beach Community Food Warehouse,33.75,-118.2,"309 Pine Ave, Long Beach, CA 90802",https://www.lafoodbank.org/partner/long-beach,(562) 555-0119,Mon–Fri 9–4,Distribution Center
North Long Beach Family Pantry,33.81,-118.18,"510 W Willow St, Long Beach, CA 90806",https://www.lafoodbank.org/partner/north-long-beach,(562) 555-0120,Tue–Sat 10–3,Food Pantry
Compton Community Food Center,33.87,-118.24,"400 W Alondra Blvd, Compton, CA 90220",https://www.lafoodbank.org/partner/compton,(310) 555-0121,Wed–Sat 9–1,Community Pantry
Inglewood Family Resource Pantry,33.97,-118.35,"321 N Eucalyptus Ave, Inglewood, CA 90302",https://www.lafoodbank.org/partner/inglewood,(310) 555-0122,Mon–Fri 9–5,Food Pantry
Hawthorne Neighborhood Food Hub,33.91,-118.34,"3900 W El Segundo Blvd, Hawthorne, CA 90250",https://www.lafoodbank.org/partner/hawthorne,(310) 555-0123,Tue–Fri 10–4,Distribution Center
Gardena Community Food Closet,33.89,-118.29,"1200 W Gardena Blvd, Gardena, CA 90247",https://www.lafoodbank.org/partner/gardena,(310) 555-0124,Mon–Thu 9–4,Food Pantry
Torrance Food Assistance Center,33.84,-118.35,"3530 Torrance Blvd, Torrance, CA 90503",https://www.lafoodbank.org/partner/torrance,(310) 555-0125,Tue–Sat 9–2,Community Pantry
Carson Community Food Pantry,33.82,-118.26,"801 E Carson St, Carson, CA 90745",https://www.lafoodbank.org/partner/carson,(310) 555-0126,Mon–Fri 9–5,Food Pantry
Norwalk Care Food Pantry,33.9,-118.07,"12040 Foster Rd, Norwalk, CA 90650",https://www.lafoodbank.org/partner/norwalk,(562) 555-0127,Wed–Sat 10–2,Community Pantry
Downey Family Food Center,33.95,-118.12,"9050 Telegraph Rd, Downey, CA 90240",https://www.lafoodbank.org/partner/downey,(562) 555-0128,Mon–Fri 9–4,Food Pantry
Whittier Neighborhood Pantry,33.97,-118.01,"13222 Penn St, Whittier, CA 90602",https://www.lafoodbank.org/partner/whittier,(562) 555-0129,Tue–Fri 10–3,Community Pantry
El Monte Community Food Hub,34.08,-118.03,"3120 Tyler Ave, El Monte, CA 91731",https://www.lafoodbank.org/partner/el-monte,(626) 555-0130,Mon–Fri 9–5,Food Pantry
West Covina Food Support Center,34.06,-117.94,"1444 W Garvey Ave S, West Covina, CA 91790",https://www.lafoodbank.org/partner/west-covina,(626) 555-0131,Tue–Sat 10–4,Distribution Center
Pomona Valley Nutrition Center,34.03,-117.75,"401 E 2nd St, Pomona, CA 91766",https://www.lafoodbank.org/partner/pomona,(909) 555-0132,Mon–Fri 9–5,Food Pantry
Pasadena Foothill Food Pantry,34.17,-118.17,"789 N Fair Oaks Ave, Pasadena, CA 91103",https://www.lafoodbank.org/partner/pasadena,(626) 555-0133,Tue–Sat 10–2,Community Pantry
Santa Monica Community Kitchen,34.02,-118.47,"1450 16th St, Santa Monica, CA 90404",https://www.lafoodbank.org/partner/santa-monica,(310) 555-0134,Mon–Fri 9–5,Meal Service
Culver City Family Food Closet,34.02,-118.39,"4044 S La Cienega Blvd, Culver City, CA 90232",https://www.lafoodbank.org/partner/culver-city,(310) 555-0135,Tue–Fri 10–3,Community Pantry
Anaheim Community Care Pantry,33.82,-117.91,"1340 S Anaheim Blvd, Anaheim, CA 92805",https://www.feedoc.org/programs/anaheim,(714) 555-0136,Mon–Fri 9–4,Food Pantry
West Anaheim Food Hub,33.84,-117.95,"3200 W Lincoln Ave, Anaheim, CA 92801",https://www.feedoc.org/programs/west-anaheim,(714) 555-0137,Tue–Sat 10–3,Community Pantry
Santa Ana Family Service Pantry,33.76,-117.79,"1505 E 17th St, Santa Ana, CA 92705",https://www.feedoc.org/programs/santa-ana,(714) 555-0138,Mon–Fri 9–5,Distribution Center
Garden Grove Community Pantry,33.76,-117.93,"11362 Garden Grove Blvd, Garden Grove, CA 92843",https://www.feedoc.org/programs/garden-grove,(714) 555-0139,Wed–Sat 9–2,Food Pantry
Westminster Little Saigon Food Bank,33.75,-117.99,"9802 Bolsa Ave, Westminster, CA 92683",https://www.feedoc.org/programs/westminster,(714) 555-0140,Mon–Fri 10–4,Community Pantry
Fountain Valley Resource Pantry,33.71,-117.94,"16400 Brookhurst St, Fountain Valley, CA 92708",https://www.feedoc.org/programs/fountain-valley,(714) 555-0141,Tue–Sat 9–3,Food Pantry
Huntington Beach Coastline Food Pantry,33.67,-118.0,"1010 Lake St, Huntington Beach, CA 92648",https://www.feedoc.org/programs/huntington-beach,(714) 555-0142,Mon–Fri 9–5,Community Pantry
Costa Mesa Neighborhood Pantry,33.64,-117.91,"1865 Anaheim Ave, Costa Mesa, CA 92627",https://www.feedoc.org/programs/costa-mesa,(949) 555-0143,Tue–Fri 10–4,Food Pantry
Irvine South County Food Hub,33.7,-117.82,"1 Civic Center Plaza, Irvine, CA 92606",https://www.feedoc.org/programs/irvine,(949) 555-0144,Mon–Thu 9–5,Distribution Center
Tustin Family Pantry,33.74,-117.82,"300 Centennial Way, Tustin, CA 92780",https://www.feedoc.org/programs/tustin,(714) 555-0145,Wed–Sat 9–2,Community Pantry
Orange Friendly Center Pantry,33.8,-117.84,"147 W Rose Ave, Orange, CA 92867",https://www.feedoc.org/programs/orange,(714) 555-0146,Mon–Fri 9–4,Food Pantry
Fullerton Community Food Shelf,33.88,-117.96,"1601 W Malvern Ave, Fullerton, CA 92833",https://www.feedoc.org/programs/fullerton,(714) 555-0147,Tue–Sat 10–3,Community Pantry
Buena Park Community Cupboard,33.87,-117.99,"6688 Beach Blvd, Buena Park, CA 90621",https://www.feedoc.org/programs/buena-park,(714) 555-0148,Mon–Fri 9–5,Food Pantry
Laguna Beach Community Pantry,33.55,-117.78,"20652 Laguna Canyon Rd, Laguna Beach, CA 92651",https://www.feedoc.org/programs/laguna-beach,(949) 555-0149,Wed–Sat 9–1,Community Pantry
Mission Viejo South County Food Pantry,33.6,-117.64,"24932 Veterans Way, Mission Viejo, CA 92692",https://www.feedoc.org/programs/mission-viejo,(949) 555-0150,Tue–Fri 10–4,Food Pantry
Feeding San Diego Central Pantry,32.9,-117.2,"9477 Waples St, San Diego, CA 92121",https://feedingsandiego.org/programs/central-pantry,(858) 555-0151,Mon–Fri 9–4,Distribution Center
San Diego Downtown Community Kitchen,32.71,-117.16,"1501 Imperial Ave, San Diego, CA 92101",https://feedingsandiego.org/programs/downtown,(619) 555-0152,Daily 8–6,Meal Service
Logan Heights Family Resource Pantry,32.69,-117.11,"1805 Main St, San Diego, CA 92113",https://feedingsandiego.org/programs/logan-heights,(619) 555-0153,Mon–Fri 9–5,Food Pantry
City Heights Community Food Hub,32.73,-117.08,"4305 University Ave, San Diego, CA 92105",https://feedingsandiego.org/programs/city-heights,(619) 555-0154,Tue–Sat 10–3,Community Pantry
Southeast San Diego Food Distribution Center,32.75,-117.07,"6845 University Ave, San Diego, CA 92115",https://feedingsandiego.org/programs/southeast,(619) 555-0155,Mon–Fri 9–4,Distribution Center
Mira Mesa Neighborhood Pantry,32.88,-117.13,"10710 Rickert Rd, San Diego, CA 92126",https://feedingsandiego.org/programs/mira-mesa,(858) 555-0156,Tue–Sat 10–3,Community Pantry
La Jolla Community Food Program,32.85,-117.2,"8650 Genesee Ave, San Diego, CA 92122",https://feedingsandiego.org/programs/la-jolla,(858) 555-0157,Mon–Fri 9–5,Food Pantry
Ocean Beach Community Pantry,32.74,-117.25,"1984 Sunset Cliffs Blvd, San Diego, CA 92107",https://feedingsandiego.org/programs/ocean-beach,(619) 555-0158,Wed–Sat 9–1,Community Pantry
Chula Vista Community Collaborative Pantry,32.61,-117.03,"690 Oxford St, Chula Vista, CA 91911",https://feedingsandiego.org/programs/chula-vista,(619) 555-0159,Tue–Sat 10–2,Food Pantry
National City Family Pantry,32.67,-117.09,"1200 National City Blvd, National City, CA 91950",https://feedingsandiego.org/programs/national-city,(619) 555-0160,Mon–Fri 9–5,Community Pantry
El Cajon Valley Food Pantry,32.79,-116.96,"550 E Main St, El Cajon, CA 92020",https://feedingsandiego.org/programs/el-cajon,(619) 555-0161,Wed–Sat 9–3,Food Pantry
La Mesa Community Care Pantry,32.78,-117.01,"4975 Memorial Dr, La Mesa, CA 91942",https://feedingsandiego.org/programs/la-mesa,(619) 555-0162,Tue–Fri 10–4,Community Pantry
Santee Food Resource Center,32.85,-116.99,"10601 Magnolia Ave, Santee, CA 92071",https://feedingsandiego.org/programs/santee,(619) 555-0163,Mon–Fri 9–4,Food Pantry
Escondido Neighborhood Food Bank,33.08,-117.13,"1400 W Valley Pkwy, Escondido, CA 92029",https://feedingsandiego.org/programs/escondido,(760) 555-0164,Tue–Sat 10–3,Community Pantry
Vista Community Pantry,33.21,-117.2,"1365 Oak Dr, Vista, CA 92084",https://feedingsandiego.org/programs/vista,(760) 555-0165,Mon–Fri 9–4,Food Pantry
San Marcos Community Pantry,33.15,-117.17,"1 Civic Center Dr, San Marcos, CA 92069",https://feedingsandiego.org/programs/san-marcos,(760) 555-0166,Wed–Sat 9–2,Community Pantry
Oceanside Coastal Food Hub,33.2,-117.35,"330 N Coast Hwy, Oceanside, CA 92054",https://feedingsandiego.org/programs/oceanside,(760) 555-0167,Mon–Fri 9–5,Distribution Center
Carlsbad Community Food Pantry,33.15,-117.28,"2560 Orion Way, Carlsbad, CA 92010",https://feedingsandiego.org/programs/carlsbad,(760) 555-0168,Tue–Sat 10–3,Community Pantry
Encinitas Community Resource Pantry,33.05,-117.25,"1140 Oakcrest Park Dr, Encinitas, CA 92024",https://feedingsandiego.org/programs/encinitas,(760) 555-0169,Mon–Fri 9–4,Food Pantry
Poway Neighborhood Food Pantry,32.97,-117.02,"13094 Civic Center Dr, Poway, CA 92064",https://feedingsandiego.org/programs/poway,(858) 555-0170,Tue–Fri 10–2,Community Pantry
Riverside Community Action Food Bank,33.96,-117.31,"2060 University Ave, Riverside, CA 92507",https://www.feedingamericaie.org/programs/riverside,(951) 555-0171,Mon–Fri 9–5,Distribution Center
Moreno Valley Family Resource Pantry,33.92,-117.24,"24594 Sunnymead Blvd, Moreno Valley, CA 92553",https://www.feedingamericaie.org/programs/moreno-valley,(951) 555-0172,Tue–Sat 10–3,Community Pantry
Corona Community Food Pantry,33.87,-117.53,"547 Magnolia Ave, Corona, CA 92879",https://www.feedingamericaie.org/programs/corona,(951) 555-0173,Mon–Fri 9–4,Food Pantry
Temecula Valley Pantry,33.48,-117.22,"28922 Pujol St, Temecula, CA 92590",https://www.feedingamericaie.org/programs/temecula,(951) 555-0174,Wed–Sat 9–2,Community Pantry
Murrieta Community Food Cupboard,33.57,-117.14,"39493 Los Alamos Rd, Murrieta, CA 92563",https://www.feedingamericaie.org/programs/murrieta,(951) 555-0175,Tue–Fri 10–4,Food Pantry
Hemet Community Pantry,33.73,-117.05,"3600 W Florida Ave, Hemet, CA 92545",https://www.feedingamericaie.org/programs/hemet,(951) 555-0176,Mon–Fri 9–3,Community Pantry
Perris Family Resource Center,33.83,-117.2,"1685 N Perris Blvd, Perris, CA 92571",https://www.feedingamericaie.org/programs/perris,(951) 555-0177,Tue–Sat 10–2,Food Pantry
Indio Community Food Bank,33.71,-116.23,"83133 Avenue 44, Indio, CA 92201",https://www.feedingamericaie.org/programs/indio,(760) 555-0178,Mon–Fri 9–4,Distribution Center
Palm Springs Community Food Pantry,33.72,-116.51,"611 S Palm Canyon Dr, Palm Springs, CA 92264",https://www.feedingamericaie.org/programs/palm-springs,(760) 555-0179,Tue–Sat 10–3,Community Pantry
Lake Elsinore Community Pantry,33.68,-117.37,"183 N Main St, Lake Elsinore, CA 92530",https://www.feedingamericaie.org/programs/lake-elsinore,(951) 555-0180,Mon–Fri 9–4,Food Pantry
San Bernardino Community Food Bank,34.08,-117.27,"1400 E Washington St, San Bernardino, CA 92408",https://www.feedingamericaie.org/programs/san-bernardino,(909) 555-0181,Mon–Fri 9–5,Distribution Center
Fontana Family Resource Pantry,34.08,-117.46,"16815 Spring St, Fontana, CA 92335",https://www.feedingamericaie.org/programs/fontana,(909) 555-0182,Tue–Sat 10–3,Community Pantry
Ontario Community Food Center,34.04,-117.67,"435 W Main St, Ontario, CA 91762",https://www.feedingamericaie.org/programs/ontario,(909) 555-0183,Mon–Fri 9–4,Food Pantry
Rancho Cucamonga Neighborhood Pantry,34.09,-117.58,"9791 Arrow Route, Rancho Cucamonga, CA 91730",https://www.feedingamericaie.org/programs/rancho-cucamonga,(909) 555-0184,Tue–Fri 10–4,Community Pantry
Victorville High Desert Food Bank,34.5,-117.29,"15555 Eighth St, Victorville, CA 92395",https://www.feedingamericaie.org/programs/victorville,(760) 555-0185,Mon–Fri 9–4,Distribution Center
Hesperia Community Food Pantry,34.36,-117.32,"16666 Smoke Tree St, Hesperia, CA 92345",https://www.feedingamericaie.org/programs/hesperia,(760) 555-0186,Tue–Sat 10–3,Community Pantry
Rialto Community Food Hub,34.1,-117.38,"214 N Palm Ave, Rialto, CA 92376",https://www.feedingamericaie.org/programs/rialto,(909) 555-0187,Mon–Fri 9–4,Food Pantry
Redlands Family Service Pantry,34.06,-117.17,"612 Lawton St, Redlands, CA 92374",https://www.feedingamericaie.org/programs/redlands,(909) 555-0188,Tue–Sat 9–2,Community Pantry
Barstow Community Pantry,34.97,-116.99,"912 Barstow Rd, Barstow, CA 92311",https://www.feedingamericaie.org/programs/barstow,(760) 555-0189,Wed–Sat 10–3,Food Pantry
Chino Valley Food Pantry,34.0,-117.68,"5500 Walnut Ave, Chino, CA 91710",https://www.feedingamericaie.org/programs/chino,(909) 555-0190,Mon–Fri 9–4,Community Pantry
Ventura Community Food Bank,34.28,-119.22,"4156 Transport St, Ventura, CA 93003",https://foodshare.com/programs/ventura,(805) 555-0191,Mon–Fri 9–4,Distribution Center
Oxnard Community Pantry,34.14,-119.1,"3295 South St, Oxnard, CA 93033",https://foodshare.com/programs/oxnard,(805) 555-0192,Tue–Sat 10–3,Community Pantry
Thousand Oaks Conejo Valley Pantry,34.21,-118.88,"80 E Hillcrest Dr, Thousand Oaks, CA 91360",https://foodshare.com/programs/thousand-oaks,(805) 555-0193,Mon–Fri 9–5,Food Pantry
Simi Valley Community Food Pantry,34.25,-118.78,"1755 Royal Ave, Simi Valley, CA 93065",https://foodshare.com/programs/simi-valley,(805) 555-0194,Tue–Sat 10–2,Community Pantry
Santa Paula Community Pantry,34.4,-119.07,"606 E Main St, Santa Paula, CA 93060",https://foodshare.com/programs/santa-paula,(805) 555-0195,Mon–Fri 9–4,Food Pantry
Santa Barbara Community Food Bank,34.43,-119.77,"4554 Hollister Ave, Santa Barbara, CA 93110",https://foodbanksbc.org/programs/santa-barbara,(805) 555-0196,Mon–Fri 9–5,Distribution Center
Santa Maria Valley Food Pantry,34.82,-120.41,"490 W Foster Rd, Santa Maria, CA 93455",https://foodbanksbc.org/programs/santa-maria,(805) 555-0197,Tue–Sat 10–3,Community Pantry
Lompoc Community Food Pantry,34.6,-120.39,"1130 W Ocean Ave, Lompoc, CA 93436",https://foodbanksbc.org/programs/lompoc,(805) 555-0198,Mon–Fri 9–4,Food Pantry
El Centro Community Food Pantry,32.77,-115.6,"958 Country Club Dr, El Centro, CA 92243",https://www.ivfoodbank.org/programs/el-centro,(760) 555-0199,Tue–Sat 10–3,Community Pantry
Calexico Borderlands Food Bank,32.69,-115.51,"1100 Imperial Ave, Calexico, CA 92231",https://www.ivfoodbank.org/programs/calexico,(760) 555-0200,Mon–Fri 9–4,Food Pantry
Mission Calexico Community Kitchen,32.650254,-115.491848,"4445 River Lane, Calexico, CA 92265",https://www.mission-calexico-community-kitchen.org,(442) 625-9639,"Mon–Sat 10–4",Mobile Pantry
Sunshine Hemet Support Network,33.751445,-116.986279,"7776 Cedar Rd, Hemet, CA 92588",https://www.sunshine-hemet-support-network.org,(951) 621-1958,"Mon–Thu 9–5",Senior Services
Compassion El Centro Nutrition Center,32.758177,-115.541185,"6494 Sixth Way, El Centro, CA 92264",https://www.compassion-el-centro-nutrition-center.org,(442) 637-7789,"Mon–Sat 9–1",Mobile Pantry
Support Redlands Relief Center,34.031219,-117.223856,"4341 Hill St, Redlands, CA 92405",https://www.support-redlands-relief-center.org,(909) 828-2835,"Mon–Sat 9–1",Mobile Pantry
Sunshine Burbank Resource Center,34.225358,-118.320986,"8182 River Way, Burbank, CA 91540",https://www.sunshine-burbank-resource-center.org,(747) 838-6525,"Mon–Sat 9–1",Youth Services
Unity Visalia Food Bank,36.346767,-119.267996,"3490 Highland Way, Visalia, CA 93328",https://www.unity-visalia-food-bank.org,(559) 204-3468,"Wed 10–6 & Sat 9–1",Mobile Pantry
Empowerment Union City Community Kitchen,37.568969,-122.071192,"7655 Forest Rd, Union City, CA 94625",https://www.empowerment-union-city-community-kitchen.org,(510) 879-7797,"Mon,Wed,Fri 10–2",Pantry
Garden Alhambra Nutrition Center,34.077525,-118.159781,"8739 Prospect Dr, Alhambra, CA 91807",https://www.garden-alhambra-nutrition-center.org,(626) 597-3885,"Mon–Fri 10–6",Mobile Pantry
Village Napa Food Shelf,38.284415,-122.268671,"9584 Ninth St, Napa, CA 94602",https://www.village-napa-food-shelf.org,(707) 321-4760,"Mon–Fri 9–5",Community Center
Garden Clovis Relief Center,36.8618,-119.692555,"2946 Elm Pl, Clovis, CA 93627",https://www.garden-clovis-relief-center.org,(559) 365-2421,"Tue–Sat 10–4",Pantry
Helping Hands San Juan Bautista Food Hub,36.850551,-121.493184,"9854 Winter St, San Juan Bautista, CA 95051",https://www.helping-hands-san-juan-bautista-food-hub.org,(831) 200-3013,"Sat 9–1",Food Bank
Faith Vallejo Nutrition Center,38.064633,-122.244419,"3543 Autumn Ter, Vallejo, CA 94627",https://www.faith-vallejo-nutrition-center.org,(707) 390-8749,"Mon–Sat 9–1",Resource Hub
Mountain Pacifica Food Shelf,37.60965,-122.492379,"6656 Third Rd, Pacifica, CA 94081",https://www.mountain-pacifica-food-shelf.org,(650) 414-3627,"Mon–Fri 11–7",Senior Services
Community Folsom Nutrition Center,38.699736,-121.188999,"2053 First St, Folsom, CA 95651",https://www.community-folsom-nutrition-center.org,(279) 874-1615,"Mon,Wed,Fri 10–2",Youth Services
Resource Delano Support Network,35.768477,-119.219576,"274 Palm Way, Delano, CA 93247",https://www.resource-delano-support-network.org,(661) 882-3582,"Tue,Thu 11–6",Pantry
Empowerment Antioch Community Kitchen,37.965976,-121.771347,"5639 Valley St, Antioch, CA 94528",https://www.empowerment-antioch-community-kitchen.org,(925) 571-8639,"Mon,Wed,Thu 9–3",Youth Services
Caring Alturas Support Network,41.471471,-120.584044,"6054 Sunset Ave, Alturas, CA 96128",https://www.caring-alturas-support-network.org,(530) 255-8137,"Mon–Fri 8–4",Resource Hub
Diversity Daly City Food Bank,37.653487,-122.466293,"3579 Santa Fe Blvd, Daly City, CA 94050",https://www.diversity-daly-city-food-bank.org,(650) 305-5357,"Mon,Wed,Thu 9–3",Community Center
Valley Daly City Community Kitchen,37.72745,-122.468912,"8871 River Lane, Daly City, CA 94050",https://www.valley-daly-city-community-kitchen.org,(650) 860-5051,"Tue–Sat 8–12",Resource Hub
Resilience Daly City Food Collective,37.69613,-122.474707,"6623 Sunset Lane, Daly City, CA 94062",https://www.resilience-daly-city-food-collective.org,(650) 443-6866,"Tue,Thu 11–6",Senior Services
Village El Centro Food Pantry,32.798572,-115.582332,"7773 First Rd, El Centro, CA 92284",https://www.village-el-centro-food-pantry.org,(442) 589-4432,"Sat 9–1",Senior Services
Harvest Auburn Support Network,38.863714,-121.093431,"2299 Second Pl, Auburn, CA 95651",https://www.harvest-auburn-support-network.org,(530) 674-5607,"Mon–Fri 11–7",Mobile Pantry
Together Rohnert Park Food Shelf,38.341264,-122.6796,"6076 Valley Ct, Rohnert Park, CA 94929",https://www.together-rohnert-park-food-shelf.org,(707) 336-2660,"Mon,Wed,Thu 9–3",Faith-Based Pantry
Empowerment Berkeley Support Network,37.916226,-122.231985,"4265 Cedar Ter, Berkeley, CA 94706",https://www.empowerment-berkeley-support-network.org,(510) 644-3748,"Mon,Wed,Fri 10–2",Youth Services
Nourish Hesperia Relief Center,34.38764,-117.334722,"2235 Spring Dr, Hesperia, CA 92392",https://www.nourish-hesperia-relief-center.org,(760) 428-4840,"Wed–Sat 9–2",Resource Hub
Resource Novato Food Shelf,38.141952,-122.539463,"1865 Seaside Lane, Novato, CA 94953",https://www.resource-novato-food-shelf.org,(628) 844-6465,"Tue–Sat 8–12",Mobile Pantry
Empowerment Sacramento Nutrition Center,38.590831,-121.505021,"2901 Santa Fe Dr, Sacramento, CA 95846",https://www.empowerment-sacramento-nutrition-center.org,(916) 638-9883,"Mon,Wed,Fri 10–2",Community Center
Fresh Hayward Food Shelf,37.684556,-122.104893,"1894 Oak Ter, Hayward, CA 94568",https://www.fresh-hayward-food-shelf.org,(510) 686-3552,"Sat 9–1",Faith-Based Pantry
Family Palm Springs Resource Center,33.816576,-116.546898,"7438 First Ter, Palm Springs, CA 92297",https://www.family-palm-springs-resource-center.org,(760) 592-9119,"Mon–Thu 9–5",Youth Services
Caring Chino Community Kitchen,34.051751,-117.728088,"4492 Fifth Pl, Chino, CA 91722",https://www.caring-chino-community-kitchen.org,(909) 534-1109,"Tue–Sat 10–4",Pantry
Lighthouse Pittsburg Community Kitchen,37.986439,-121.861622,"1445 Fifth Ave, Pittsburg, CA 94607",https://www.lighthouse-pittsburg-community-kitchen.org,(925) 739-9229,"Tue,Thu 11–6",Faith-Based Pantry
Faith Larkspur Support Network,37.935255,-122.552959,"1015 Forest Ter, Larkspur, CA 94982",https://www.faith-larkspur-support-network.org,(628) 451-6060,"Mon–Sat 9–1",Resource Hub
Compassion Petaluma Food Hub,38.19092,-122.625675,"4376 Eighth Pl, Petaluma, CA 94974",https://www.compassion-petaluma-food-hub.org,(707) 557-1249,"Mon–Sat 10–4",Faith-Based Pantry
Kindness San Carlos Food Bank,37.490563,-122.288641,"8796 Forest Ct, San Carlos, CA 94073",https://www.kindness-san-carlos-food-bank.org,(650) 853-5315,"Tue–Fri 8–2",Food Bank
Valley Seaside Nutrition Center,36.584103,-121.884717,"7510 Broadway St, Seaside, CA 93978",https://www.valley-seaside-nutrition-center.org,(831) 550-8376,"Mon–Sat 9–1",Food Bank
Friendship San Bruno Food Bank,37.646109,-122.381456,"7341 Jackson Lane, San Bruno, CA 94078",https://www.friendship-san-bruno-food-bank.org,(650) 707-7493,"Mon–Fri 7–3",Youth Services
